"scientific_name","taxocode","a3_code","isscaap","english_name"
"Petromyzon marinus","1020100101","LAU",25,"Sea lamprey"
"Lampetra fluviatilis","1020100201","LAR",25,"River lamprey"
"Lampetra tridentata","1020100202","LAO",25,"Pacific lamprey"
"Ichthyomyzon unicuspis","1020100401","LAY",25,"Silver lamprey"
"Eudontomyzon mariae","1020100501","LAF",25,"Ukrainian brook lamprey"
"Geotria australis","1020100701","LAE",25,"Pouched lamprey"
"Mordacia mordax","1020100801","LAK",25,"Australian lamprey"
"Caspiomyzon wagneri","1020100901","LAW",25,"Caspian lamprey"
"Lethenteron camtschaticum","1020101101","LSZ",25,"Arctic lamprey"
"Petromyzontidae","10201XXXXX","LAS",25,"Lampreys nei"
"Paramyxine atami","1030300201","MYP",33,"Brown hagfish"
"Myxine glutinosa","1030300301","MYG",33,"Hagfish"
"Nemamyxine elongata","1030300401","MYE",33,""
"Eptatretus burgeri","1030300601","MYB",33,"Inshore hagfish"
"Eptatretus stoutii","1030300602","MYU",33,"Pacific hagfish"
"Eptatretus cirrhatus","1030300603","MWC",33,"Broadgilled hagfish"
"Myxinidae","10303XXXXX","MYX",33,"Hagfishes nei"
"Heterodontus francisci","1040100101","HEF",38,"Horn shark"
"Heterodontus galeatus","1040100102","HEG",38,"Crested bullhead shark"
"Heterodontus japonicus","1040100103","HEJ",38,"Japanese bullhead shark"
"Heterodontus mexicanus","1040100104","HEM",38,"Mexican hornshark"
"Heterodontus portusjacksoni","1040100105","HEK",38,"Port Jackson shark"
"Heterodontus quoyi","1040100106","HEQ",38,"Galapagos bullhead shark"
"Heterodontus ramalheira","1040100107","HEA",38,"Whitespotted bullhead shark"
"Heterodontus zebra","1040100108","HEZ",38,"Zebra bullhead shark"
"Heterodontiformes","104XXXXXXX","HDQ",38,"Bullhead sharks"
"Chlamydoselachus anguineus","1050100101","HXC",38,"Frilled shark"
"Chlamydoselachus africana","1050100102","HWR",38,"African frilled shark"
"Hexanchus griseus","1050200201","SBL",38,"Bluntnose sixgill shark"
"Hexanchus nakamurai","1050200202","HXN",38,"Bigeyed sixgill shark"
"Heptranchias perlo","1050200301","HXT",38,"Sharpnose sevengill shark"
"Notorynchus cepedianus","1050200502","NTC",38,"Broadnose sevengill shark"
"Hexanchiformes","105XXXXXXX","HXW",38,"Frilled and cow sharks"
"Cetorhinus maximus","1060100301","BSK",38,"Basking shark"
"Carcharias taurus","1060200501","CCT",38,"Sand tiger shark"
"Carcharias tricuspidatus","1060200502","LOU",38,"Indian sand tiger"
"Odontaspis ferox","1060200601","LOO",38,"Smalltooth sand tiger"
"Odontaspis noronhai","1060200602","ODH",38,"Bigeye sand tiger shark"
"Mitsukurina owstoni","1060301201","LMO",38,"Goblin shark"
"Pseudocarcharias kamoharai","1060403601","PSK",38,"Crocodile shark"
"Megachasma pelagios","1060500101","LMP",38,"Megamouth shark"
"Alopias vulpinus","1060600601","ALV",38,"Thresher"
"Alopias pelagicus","1060600602","PTH",38,"Pelagic thresher"
"Alopias superciliosus","1060600603","BTH",38,"Bigeye thresher"
"Alopias spp","10606006XX","THR",38,"Thresher sharks nei"
"Isurus oxyrinchus","1060800201","SMA",38,"Shortfin mako"
"Isurus paucus","1060800203","LMA",38,"Longfin mako"
"Isurus spp","10608002XX","MAK",38,"Mako sharks"
"Lamna nasus","1060800301","POR",38,"Porbeagle"
"Lamna ditropis","1060800303","LMD",38,"Salmon shark"
"Carcharodon carcharias","1060800701","WSH",38,"Great white shark"
"Lamnidae","10608XXXXX","MSK",38,"Mackerel sharks,porbeagles nei"
"Lamniformes","106XXXXXXX","LMZ",38,"Mackerel sharks"
"Stegostoma fasciatum","1070100101","OSF",38,"Zebra shark"
"Eucrossorhinus dasypogon","1070200101","ORE",38,"Tasselled wobbegong"
"Orectolobus japonicus","1070200201","ORJ",38,"Japanese wobbegong"
"Orectolobus maculatus","1070200202","ORT",38,"Spotted wobbegong"
"Orectolobus ornatus","1070200203","ORO",38,"Ornate wobbegong"
"Orectolobus wardi","1070200204","ORV",38,"Northern wobbegong"
"Sutorectus tentaculatus","1070200301","ORS",38,"Cobbler wobbegong"
"Ginglymostoma cirratum","1070300901","GNC",38,"Nurse shark"
"Ginglymostoma brevicaudatum","1070300902","ORX",38,"Short-tail nurse shark"
"Ginglymostoma spp","10703009XX","GNG",38,"Nurse sharks nei"
"Nebrius ferrugineus","1070302401","ORZ",38,"Tawny nurse shark"
"Hemiscyllium freycineti","1070400201","ORF",38,"Indonesia speckled carpetshark"
"Hemiscyllium hallstromi","1070400202","ORK",38,"Papuan epaulette shark"
"Hemiscyllium ocellatum","1070400203","ORN",38,"Epaulette shark"
"Hemiscyllium strahani","1070400204","ORQ",38,"Hooded carpetshark"
"Hemiscyllium trispeculare","1070400205","ORW",38,"Speckled carpetshark"
"Chiloscyllium arabicum","1070401501","ORA",38,"Arabian carpetshark"
"Chiloscyllium caerulopunctatum","1070401502","ORP",38,"Bluespotted bambooshark"
"Chiloscyllium griseum","1070401503","ORR",38,"Grey bambooshark"
"Chiloscyllium indicum","1070401504","ORI",38,"Slender bambooshark"
"Chiloscyllium plagiosum","1070401505","ORH",38,"Whitespotted bambooshark"
"Chiloscyllium punctatum","1070401506","ORB",38,"Brownbanded bambooshark"
"Chiloscyllium burmensis","1070401507","KYL",38,"Burmese bambooshark"
"Chiloscyllium hasselti","1070401508","YYL",38,"Hasselt's bambooshark"
"Chiloscyllium spp","10704015XX","OQX",38,"Bamboosharks nei"
"Rhincodon typus","1070500401","RHN",38,"Whale shark"
"Brachaelurus waddi","1070600101","OBW",38,"Blind shark"
"Heteroscyllium colcloughi","1070600201","OBH",38,"Bluegray carpetshark"
"Cirrhoscyllium expolitum","1070700101","OPC",38,"Barbelthroat carpetshark"
"Cirrhoscyllium formosanum","1070700102","OPF",38,"Taiwan saddled carpetshark"
"Cirrhoscyllium japonicum","1070700103","OPJ",38,"Saddle carpetshark"
"Parascyllium collare","1070700201","OPY",38,"Collared carpetshark"
"Parascyllium ferrugineum","1070700202","OPE",38,"Rusty carpetshark"
"Parascyllium variolatum","1070700204","OPV",38,"Necklace carpetshark"
"Orectolobiformes","107XXXXXXX","OCX",38,"Carpet sharks"
"Galeus arae","1080100101","GAA",38,"Roughtail catshark"
"Galeus boardmani","1080100102","GAB",38,"Australian sawtail catshark"
"Galeus eastmani","1080100103","GAE",38,"Gecko catshark"
"Galeus melastomus","1080100104","SHO",38,"Blackmouth catshark"
"Galeus longirostris","1080100105","GAO",38,""
"Galeus murinus","1080100106","GAM",38,"Mouse catshark"
"Galeus nipponensis","1080100107","GAN",38,"Broadfin sawtail catshark"
"Galeus piperatus","1080100108","GAP",38,"Peppered catshark"
"Galeus polli","1080100109","GAQ",38,"African sawtail catshark"
"Galeus sauteri","1080100110","GAI",38,"Blacktip sawtail catshark"
"Galeus schultzi","1080100111","GAH",38,"Dwarf sawtail catshark"
"Galeus atlanticus","1080100112","GHA",38,"Atlantic sawtail catshark"
"Galeus spp","10801001XX","GAU",38,"Crest-tail catsharks nei"
"Scyliorhinus canicula","1080100301","SYC",38,"Small-spotted catshark"
"Scyliorhinus stellaris","1080100302","SYT",38,"Nursehound"
"Scyliorhinus besnardi","1080100303","SYB",38,"Polkadot catshark"
"Scyliorhinus boa","1080100304","SYA",38,"Boa catshark"
"Scyliorhinus capensis","1080100305","SYP",38,"Yellowspotted catshark"
"Scyliorhinus cervigoni","1080100306","SYE",38,"West African catshark"
"Scyliorhinus garmani","1080100307","SYG",38,"Brownspotted catshark"
"Scyliorhinus haeckelii","1080100308","SYH",38,"Freckled catshark"
"Scyliorhinus hesperius","1080100309","SYU",38,"Whitesaddled catshark"
"Scyliorhinus meadi","1080100310","SYM",38,"Blotched catshark"
"Scyliorhinus retifer","1080100311","SYF",38,"Chain catshark"
"Scyliorhinus tokubee","1080100312","SYK",38,""
"Scyliorhinus torazame","1080100313","SYZ",38,"Cloudy catshark"
"Scyliorhinus torrei","1080100314","SYI",38,"Dwarf catshark"
"Scyliorhinus spp","10801003XX","SCL",38,"Catsharks, nursehounds nei"
"Schroederichthys bivius","1080100401","SHV",38,"Narrowmouthed catshark"
"Schroederichthys chilensis","1080100402","SHY",38,"Redspotted catshark"
"Schroederichthys maculatus","1080100403","SHU",38,"Narrowtail catshark"
"Schroederichthys tenuis","1080100404","SHN",38,"Slender catshark"
"Asymbolus analis","1080100501","ASY",38,"Australian spotted catshark"
"Asymbolus vincenti","1080100502","ASV",38,"Gulf catshark"
"Asymbolus spp","10801005XX","AXM",38,""
"Atelomycterus macleayi","1080100701","ATM",38,"Australian marbled catshark"
"Atelomycterus marmoratus","1080100702","ATY",38,"Coral catshark"
"Haploblepharus edwardsii","1080100901","HPE",38,"Puffadder shyshark"
"Haploblepharus fuscus","1080100902","HPF",38,"Brown shyshark"
"Haploblepharus pictus","1080100903","HPP",38,"Dark shyshark"
"Holohalaelurus punctatus","1080101101","HOP",38,"African spotted catshark"
"Holohalaelurus regani","1080101102","HOR",38,"Izak catshark"
"Parmaturus campechiensis","1080101301","PAH",38,"Campeche catshark"
"Parmaturus macmillani","1080101302","PAE",38,"McMillan's cat shark"
"Parmaturus melanobranchius","1080101303","PAV",38,"Blackgill catshark"
"Parmaturus pilosus","1080101304","PAW",38,"Salamander shark"
"Parmaturus xaniurus","1080101305","PAY",38,"Filetail catshark"
"Apristurus acanutus","1080101401","CSA",38,""
"Apristurus atlanticus","1080101402","CSU",38,"Atlantic ghost catshark"
"Apristurus brunneus","1080101403","CSN",38,"Brown catshark"
"Apristurus canutus","1080101404","CSQ",38,"Hoary catshark"
"Apristurus gibbosus","1080101405","CSG",38,""
"Apristurus herklotsi","1080101406","CSW",38,"Longfin catshark"
"Apristurus indicus","1080101407","APD",38,"Smallbelly catshark"
"Apristurus investigatoris","1080101408","APV",38,"Broadnose catshark"
"Apristurus japonicus","1080101409","CSJ",38,"Japanese catshark"
"Apristurus kampae","1080101410","CSZ",38,"Longnose catshark"
"Apristurus laurussonii","1080101411","APQ",38,"Iceland catshark"
"Apristurus longicephalus","1080101412","CSF",38,"Longhead catshark"
"Apristurus macrorhynchus","1080101413","CSX",38,"Flathead catshark"
"Apristurus macrostomus","1080101414","APM",38,""
"Apristurus maderensis","1080101415","APF",38,"Madeira catshark"
"Apristurus manis","1080101416","APA",38,"Ghost catshark"
"Apristurus microps","1080101417","APX",38,"Smalleye catshark"
"Apristurus micropterygeus","1080101418","APY",38,""
"Apristurus nasutus","1080101419","APW",38,"Largenose catshark"
"Apristurus parvipinnis","1080101420","APK",38,"Smallfin catshark"
"Apristurus platyrhynchus","1080101421","APZ",38,"Spatulasnout catshark"
"Apristurus profundorum","1080101422","APP",38,"Deep-water catshark"
"Apristurus riveri","1080101423","CSV",38,"Broadgill catshark"
"Apristurus saldanha","1080101424","APC",38,"Saldanha catshark"
"Apristurus sibogae","1080101425","APJ",38,"Pale catshark"
"Apristurus sinensis","1080101426","ASI",38,"South China catshark"
"Apristurus spongiceps","1080101427","ASO",38,"Spongehead catshark"
"Apristurus stenseni","1080101428","ASE",38,"Panama ghost catshark"
"Apristurus verweyi","1080101429","ASW",38,"Borneo catshark"
"Apristurus spp","10801014XX","API",38,"Deep-water catsharks"
"Aulohalaelurus kanakorum","1080102801","AUK",38,"Kanakorum catshark"
"Aulohalaelurus labiosus","1080102802","AUL",38,"Australian Blackspot catshark"
"Halaelurus alcocki","1080103001","HAA",38,"Arabian catshark"
"Halaelurus boesemani","1080103002","HAB",38,"Speckled catshark"
"Halaelurus buergeri","1080103003","HAE",38,"Blackspotted catshark"
"Halaelurus canescens","1080103004","HAN",38,"Dusky catshark"
"Halaelurus dawsoni","1080103005","HAO",38,"New Zealand catshark"
"Halaelurus hispidus","1080103006","HAH",38,"Bristly catshark"
"Halaelurus immaculatus","1080103007","HAV",38,"Spotless catshark"
"Halaelurus lineatus","1080103008","HAY",38,"Lined catshark"
"Halaelurus lutarius","1080103009","HAG",38,"Mud catshark"
"Halaelurus natalensis","1080103010","HAK",38,"Tiger catshark"
"Halaelurus quagga","1080103011","HAQ",38,"Quagga catshark"
"Pentanchus profundicolus","1080103101","PEU",38,"Onefin catshark"
"Cephaloscyllium fasciatum","1080103401","CPF",38,"Reticulated swellshark"
"Cephaloscyllium isabellum","1080103402","CPS",38,"Draughtsboard shark"
"Cephaloscyllium laticeps","1080103403","CPT",38,"Australian swellshark"
"Cephaloscyllium nascione","1080103404","CPN",38,"Whitefinned swellshark"
"Cephaloscyllium silasi","1080103405","CPA",38,"Indian swellshark"
"Cephaloscyllium sufflans","1080103406","CPH",38,"Balloon shark"
"Cephaloscyllium umbratile","1080103407","CPB",38,"Blotchy swell shark"
"Cephaloscyllium ventriosum","1080103408","CPV",38,"Swellshark"
"Cephalurus cephalus","1080103501","CPC",38,"Lollipop catshark"
"Poroderma africanum","1080103601","POU",38,"Striped catshark"
"Poroderma marleyi","1080103602","POE",38,"Barbeled catshark"
"Poroderma pantherinum","1080103603","POH",38,"Leopard catshark"
"Scyliorhinidae","10801XXXXX","SYX",38,"Catsharks, etc. nei"
"Prionace glauca","1080200401","BSH",38,"Blue shark"
"Isogomphodon oxyrhynchus","1080200501","CIO",38,"Daggernose shark"
"Lamiopsis temmincki","1080200701","LMT",38,"Broadfin shark"
"Nasolamia velox","1080200801","CNX",38,"Whitenose shark"
"Carcharhinus plumbeus","1080201001","CCP",38,"Sandbar shark"
"Carcharhinus amblyrhynchoides","1080201002","CCY",38,"Graceful shark"
"Carcharhinus limbatus","1080201003","CCL",38,"Blacktip shark"
"Carcharhinus melanopterus","1080201005","BLR",38,"Blacktip reef shark"
"Carcharhinus amblyrhynchos","1080201006","AML",38,"Grey reef shark"
"Carcharhinus amboinensis","1080201007","CCF",38,"Pigeye shark"
"Carcharhinus borneensis","1080201008","CCX",38,"Borneo shark"
"Carcharhinus acronotus","1080201009","CCN",38,"Blacknose shark"
"Carcharhinus cautus","1080201010","CCC",38,"Nervous shark"
"Carcharhinus longimanus","1080201011","OCS",38,"Oceanic whitetip shark"
"Carcharhinus porosus","1080201012","CCR",38,"Smalltail shark"
"Carcharhinus dussumieri","1080201014","CCD",38,"Whitecheek shark"
"Carcharhinus fitzroyensis","1080201015","CCZ",38,"Creek whaler"
"Carcharhinus obscurus","1080201016","DUS",38,"Dusky shark"
"Carcharhinus falciformis","1080201017","FAL",38,"Silky shark"
"Carcharhinus leucas","1080201018","CCE",38,"Bull shark"
"Carcharhinus albimarginatus","1080201019","ALS",38,"Silvertip shark"
"Carcharhinus brachyurus","1080201020","BRO",38,"Copper shark"
"Carcharhinus brevipinna","1080201021","CCB",38,"Spinner shark"
"Carcharhinus sealei","1080201022","CCI",38,"Blackspot shark"
"Carcharhinus signatus","1080201023","CCS",38,"Night shark"
"Carcharhinus macloti","1080201024","CCM",38,"Hardnose shark"
"Carcharhinus isodon","1080201025","CCO",38,"Finetooth shark"
"Carcharhinus altimus","1080201026","CCA",38,"Bignose shark"
"Carcharhinus galapagensis","1080201027","CCG",38,"Galapagos shark"
"Carcharhinus hemiodon","1080201028","CCK",38,"Pondicherry shark"
"Carcharhinus leiodon","1080201029","CCJ",38,""
"Carcharhinus perezi","1080201030","CCV",38,"Caribbean reef shark"
"Carcharhinus sorrah","1080201031","CCQ",38,"Spot-tail shark"
"Carcharhinus tilstoni","1080201032","CCU",38,"Australian blacktip shark"
"Carcharhinus wheeleri","1080201033","CCW",38,"Blacktail reef shark"
"Carcharhinus spp","10802010XX","CWZ",38,"Carcharhinus sharks nei"
"Galeocerdo cuvier","1080201703","TIG",38,"Tiger shark"
"Scoliodon laticaudus","1080202101","SLA",38,"Spadenose shark"
"Triaenodon obesus","1080202201","TRB",38,"Whitetip reef shark"
"Negaprion brevirostris","1080202701","NGB",38,"Lemon shark"
"Negaprion acutidens","1080202702","NGA",38,"Sicklefin lemon shark"
"Loxodon macrorhinus","1080203201","CLD",38,"Sliteye shark"
"Glyphis gangeticus","1080203301","CGA",38,"Ganges shark"
"Glyphis glyphis","1080203302","CGG",38,"Speartooth shark"
"Rhizoprionodon terraenovae","1080204001","RHT",38,"Atlantic sharpnose shark"
"Rhizoprionodon acutus","1080204002","RHA",38,"Milk shark"
"Rhizoprionodon lalandii","1080204003","RHL",38,"Brazilian sharpnose shark"
"Rhizoprionodon longurio","1080204004","RHU",38,"Pacific sharpnose shark"
"Rhizoprionodon oligolinx","1080204005","RHX",38,"Grey sharpnose shark"
"Rhizoprionodon porosus","1080204006","RHR",38,"Caribbean sharpnose shark"
"Rhizoprionodon taylori","1080204007","RHY",38,"Australian sharpnose shark"
"Rhizoprionodon spp","10802040XX","RHZ",38,"Sharpnose sharks nei"
"Carcharhinidae","10802XXXXX","RSK",38,"Requiem sharks nei"
"Eusphyra blochii","1080300401","EUB",38,"Winghead shark"
"Sphyrna zygaena","1080300501","SPZ",38,"Smooth hammerhead"
"Sphyrna corona","1080300503","SSN",38,"Scalloped bonnethead"
"Sphyrna couardi","1080300504","SPV",38,"Whitefin hammerhead"
"Sphyrna lewini","1080300506","SPL",38,"Scalloped hammerhead"
"Sphyrna media","1080300507","SPE",38,"Scoophead"
"Sphyrna tudes","1080300508","SPQ",38,"Smalleye hammerhead"
"Sphyrna tiburo","1080300509","SPJ",38,"Bonnethead"
"Sphyrna mokarran","1080300510","SPK",38,"Great hammerhead"
"Sphyrna spp","10803005XX","SPN",38,"Hammerhead sharks nei"
"Sphyrnidae","10803XXXXX","SPY",38,"Hammerhead sharks, etc. nei"
"Mustelus antarcticus","1080400701","CTU",38,"Gummy shark"
"Mustelus californicus","1080400702","CTN",38,"Grey smooth-hound"
"Mustelus canis","1080400703","CTI",38,"Dusky smooth-hound"
"Mustelus dorsalis","1080400704","CTD",38,"Sharptooth smooth-hound"
"Mustelus fasciatus","1080400705","CTF",38,"Striped smooth-hound"
"Mustelus griseus","1080400706","CTE",38,"Spotless smooth-hound"
"Mustelus henlei","1080400707","CTK",38,"Brown smooth-hound"
"Mustelus higmani","1080400708","CTJ",38,"Smalleye smooth-hound"
"Mustelus lenticulatus","1080400709","MTL",38,"Spotted estuary smooth-hound"
"Mustelus lunulatus","1080400710","MUU",38,"Sicklefin smooth-hound"
"Mustelus manazo","1080400711","MTZ",38,"Starspotted smooth-hound"
"Mustelus schmitti","1080400712","SDP",38,"Narrownose smooth-hound"
"Mustelus mustelus","1080400713","SMD",38,"Smooth-hound"
"Mustelus norrisi","1080400714","MTR",38,"Narrowfin smooth-hound"
"Mustelus asterias","1080400715","SDS",38,"Starry smooth-hound"
"Mustelus mento","1080400716","MTE",38,"Speckled smooth-hound"
"Mustelus mosis","1080400717","MTM",38,"Arabian smooth-hound"
"Mustelus palumbes","1080400718","MUP",38,"Whitespotted smooth-hound"
"Mustelus punctulatus","1080400720","MPT",38,"Blackspotted smooth-hound"
"Mustelus whitneyi","1080400721","MUW",38,"Humpback smooth-hound"
"Mustelus spp","10804007XX","SDV",38,"Smooth-hounds nei"
"Galeorhinus galeus","1080401103","GAG",38,"Tope shark"
"Triakis acutipinna","1080402301","TTA",38,"Sharpfin houndshark"
"Triakis semifasciata","1080402302","LES",38,"Leopard shark"
"Triakis maculata","1080402303","TTM",38,"Spotted houndshark"
"Triakis megalopterus","1080402304","TTE",38,"Sharptooth houndshark"
"Triakis scyllium","1080402305","TTY",38,"Banded houndshark"
"Iago garricki","1080402401","TIK",38,"Longnose houndshark"
"Iago omanensis","1080402402","TIO",38,"Bigeye houndshark"
"Gogolia filewoodi","1080402501","TGF",38,"Sailback houndshark"
"Hypogaleus hyugaensis","1080402701","THH",38,"Blacktipe tope"
"Furgaleus macki","1080402801","TFM",38,"Whiskery shark"
"Hemitriakis japanica","1080402901","THJ",38,"Japanese topeshark"
"Hemitriakis leucoperiptera","1080402902","THL",38,"Whitefin topeshark"
"Scylliogaleus quecketti","1080403001","TSK",38,"Flapnose houndshark"
"Triakidae","10804XXXXX","TRK",38,"Houndsharks,smoothhounds nei"
"Pseudotriakis microdon","1080502801","PTM",38,"False catshark"
"Chaenogaleus macrostoma","1080600101","HCM",38,"Hooktooth shark"
"Hemipristis elongata","1080600201","HEE",38,"Snaggletooth shark"
"Paragaleus leucolomatus","1080600301","HEC",38,"Whitetip weasel shark"
"Paragaleus pectoralis","1080600302","HEI",38,"Atlantic weasel shark"
"Paragaleus tengi","1080600303","HEN",38,"Straight-tooth weasel shark"
"Hemigaleus microstoma","1080601801","HEH",38,"Sicklefin weasel shark"
"Leptocharias smithii","1080702001","CLL",38,"Barbeled houndshark"
"Ctenacis fehlmanni","1080800101","CPE",38,"Harlequin catshark"
"Eridacnis barbouri","1080800201","PEB",38,"Cuban ribbontail catshark"
"Eridacnis radcliffei","1080800202","PEA",38,"Pygmy ribbontail catshark"
"Eridacnis sinuans","1080800203","PED",38,"African ribbontail catshark"
"Gollum attenuatus","1080800301","CPG",38,"Slender smooth-hound"
"Proscyllium habereri","1080800401","CPY",38,"Graceful catshark"
"Carcharhiniformes","108XXXXXXX","CVX",38,"Ground sharks"
"Somniosus microcephalus","1090100201","GSK",38,"Greenland shark"
"Somniosus rostratus","1090100202","SOR",38,"Little sleeper shark"
"Somniosus pacificus","1090100203","SON",38,"Pacific sleeper shark"
"Cirrhigaleus asper","1090100301","CHZ",38,"Roughskin spurdog"
"Cirrhigaleus barbifer","1090100302","CHF",38,"Mandarin dogfish"
"Euprotomicroides zantedeschia","1090100401","EUZ",38,"Taillight shark"
"Heteroscymnoides marleyi","1090100501","HYY",38,"Longnose pygmy shark"
"Squalus blainville","1090100701","QUB",38,"Longnose spurdog"
"Squalus cubensis","1090100702","QUC",38,"Cuban dogfish"
"Squalus japonicus","1090100703","QUJ",38,"Japanese spurdog"
"Squalus acanthias","1090100704","DGS",38,"Picked dogfish"
"Squalus mitsukurii","1090100705","QUK",38,"Shortspine spurdog"
"Squalus rancureli","1090100706","QUR",38,"Cyrano spurdog"
"Squalus melanurus","1090100707","QUN",38,"Blacktailed spurdog"
"Squalus megalops","1090100708","DOP",38,"Shortnose spurdog"
"Squalus spp","10901007XX","DGZ",38,"Dogfishes nei"
"Centrophorus granulosus","1090100801","GUP",38,"Gulper shark"
"Centrophorus uyato","1090100802","CPU",38,"Little gulper shark"
"Centrophorus squamosus","1090100803","GUQ",38,"Leafscale gulper shark"
"Centrophorus lusitanicus","1090100804","CPL",38,"Lowfin gulper shark"
"Centrophorus acus","1090100805","CEA",38,"Needle dogfish"
"Centrophorus harrissoni","1090100806","CEU",38,"Dumb gulper shark"
"Centrophorus moluccensis","1090100807","CEM",38,"Smallfin gulper shark"
"Centrophorus niaukang","1090100808","CEK",38,"Taiwan gulper shark"
"Centrophorus tessellatus","1090100809","CEE",38,"Mosaic gulper shark"
"Centrophorus atromarginatus","1090100810","GVA",38,"Blackfin gulper shark"
"Centrophorus isodon","1090100811","GVI",38,"Black gulper shark"
"Centrophorus spp","10901008XX","CWO",38,"Gulper sharks nei"
"Etmopterus spinax","1090101001","ETX",38,"Velvet belly"
"Etmopterus bigelowi","1090101002","ETB",38,""
"Etmopterus brachyurus","1090101003","ETH",38,"Shorttail lanternshark"
"Etmopterus bullisi","1090101004","ETU",38,"Lined lanternshark"
"Etmopterus princeps","1090101005","ETR",38,"Great lanternshark"
"Etmopterus pusillus","1090101006","ETP",38,"Smooth lanternshark"
"Etmopterus gracilispinis","1090101007","ETI",38,"Broadbanded lanternshark"
"Etmopterus granulosus","1090101008","ETM",38,"Southern lanternshark(Lucifer)"
"Etmopterus hillianus","1090101009","ETN",38,"Carribean lanternshark"
"Etmopterus lucifer","1090101010","ETF",38,"Blackbelly lanternshark"
"Etmopterus molleri","1090101011","ETL",38,"Mollers lantern shark"
"Etmopterus polli","1090101012","ETT",38,"African lanternshark"
"Etmopterus schultzi","1090101013","ETZ",38,"Fringfin lanternshark"
"Etmopterus sentosus","1090101014","ETQ",38,"Thorny lanternshark"
"Etmopterus splendidus","1090101015","ETK",38,""
"Etmopterus unicolor","1090101016","ETJ",38,"Brown lanternshark"
"Etmopterus villosus","1090101017","ETV",38,"Hawaiian lanternshark"
"Etmopterus virens","1090101018","ETW",38,"Green lanternshark"
"Etmopterus compagnoi","1090101021","ETE",38,""
"Etmopterus decacuspidatus","1090101022","ETO",38,"Combtoothed lanternshark"
"Etmopterus spp","10901010XX","SHL",38,"Lanternsharks nei"
"Isistius brasiliensis","1090101101","ISB",38,"Cookie cutter shark"
"Isistius plutodus","1090101102","ISP",38,"Largetooth cookiecutter shark"
"Euprotomicrus bispinatus","1090101201","EUP",38,"Pygmy shark"
"Deania calcea","1090101401","DCA",38,"Birdbeak dogfish"
"Deania histricosa","1090101402","SDH",38,"Rough longnose dogfish"
"Deania profundorum","1090101403","SDU",38,"Arrowhead dogfish"
"Deania quadrispinosa","1090101404","SDQ",38,"Longsnout dogfish"
"Deania spp","10901014XX","DNA",38,"Deania dogfishes nei"
"Scymnodalatias albicauda","1090101501","YSA",38,"Whitetail dogfish"
"Scymnodalatias sherwoodi","1090101502","YSS",38,"Sherwood dogfish"
"Centroscymnus coelolepis","1090101601","CYO",38,"Portuguese dogfish"
"Centroscymnus crepidater","1090101602","CYP",38,"Longnose velvet dogfish"
"Centroscymnus cryptacanthus","1090101603","CYY",38,"Shortnose velvet dogfish"
"Centroscymnus owstoni","1090101604","CYW",38,"Roughskin dogfish"
"Centroscymnus plunketi","1090101605","CYU",38,"Plunket shark"
"Centroscymnus spp","10901016XX","CZI",38,""
"Scymnodon obscurus","1090101701","SYO",38,"Smallmouth knifetooth dogfish"
"Scymnodon ringens","1090101702","SYR",38,"Knifetooth dogfish"
"Scymnodon macracanthus","1090101703","YSM",38,"Largespine velvet dogfish"
"Scymnodon squamulosus","1090101704","SSQ",38,"Velvet dogfish"
"Dalatias licha","1090101801","SCK",38,"Kitefin shark"
"Centroscyllium fabricii","1090101901","CFB",38,"Black dogfish"
"Centroscyllium granulatum","1090101902","CYG",38,"Granular dogfish"
"Centroscyllium kamoharai","1090101903","CYK",38,"Bareskin dogfish"
"Centroscyllium nigrum","1090101904","CYN",38,"Combtooth dogfish"
"Centroscyllium ornatum","1090101905","CYT",38,"Ornate dogfish"
"Centroscyllium ritteri","1090101906","CYR",38,"Whitefin dogfish"
"Centroscyllium spp","10901019XX","YCX",38,"Centroscyllium dogfishes nei"
"Aculeola nigra","1090102101","ACN",38,"Hooktooth dogfish"
"Squaliolus aliae","1090102801","QUA",38,"Smalleye pygmy shark"
"Squaliolus laticaudus","1090102802","QUL",38,"Spined pygmy shark"
"Squalidae","10901XXXXX","DGX",38,"Dogfish sharks nei"
"Squalidae, Scyliorhinidae","10901XXXXX040","DGH",38,"Dogfishes and hounds nei"
"Pristiophorus cirratus","1090200301","PPC",38,"Longnose sawshark"
"Pristiophorus japonicus","1090200302","PPJ",38,"Japanese sawshark"
"Pristiophorus nudipinnis","1090200303","PPU",38,"Shortnose sawshark"
"Pristiophorus schroederi","1090200304","PPH",38,"Bahamas sawshark"
"Pliotrema warreni","1090200401","PPW",38,"Sixgill sawshark"
"Pristiophorus spp","10902004XX","PWS",38,"Sawsharks nei"
"Squatina squatina","1090300401","AGN",38,"Angelshark"
"Squatina aculeata","1090300402","SUA",38,"Sawback angelshark"
"Squatina africana","1090300403","SUF",38,"African angelshark"
"Squatina argentina","1090300404","SUG",38,"Argentine angelshark"
"Squatina australis","1090300405","SUU",38,"Australian angelshark"
"Squatina californica","1090300406","SUC",38,"Pacific angelshark"
"Squatina dumeril","1090300407","SUD",38,"Sand devil"
"Squatina formosa","1090300408","SUO",38,"Taiwan angleshark"
"Squatina japonica","1090300409","SUJ",38,"Japanese angelshark"
"Squatina nebulosa","1090300410","SUL",38,"Clouded angelshark"
